Distance,XinmV,YinmV
25,-0.43,-3.596
24.5,-0.43,-3.55
24,-0.42,-3.52
23.5,-0.4,-3.44
23,-0.34,-3.24
22.5,-0.101,-2.605
22,-0.001,-1.94
21.5,0.208,-1.11
21,0.308,-0.724
20.5,0.412,-0.337
20,0.46,0.157
19.5,0.498,0.018
19,0.512,0.042
18.5,0.501,0.027
18,0.509,-0.021
17.5,0.506,-0.027
17,0.494,-0.08
16.5,0.465,-0.183
16,0.415,-0.375
15.5,0.332,-0.688
15,0.208,-1.155
14.5,0.013,-1.892
14,-0.231,-2.813
13.5,-0.38,-3.387
13,-0.482,-3.755
12.5,-0.63,-4.325
12,-0.773,-4.275
11.5,-1.16,-5.785
11,-1.21,-6.651
10.5,-1.331,-6.692
10,-1.388,-6.985
9.5,-1.409,-7.628
9,-1.425,-7.33
8.5,-1.431,-7.355
8,-1.435,-7.382
7.5,-1.433,-7.357
7,-1.425,-7.326
6.5,-1.412,-7.277
6,-1.396,-7.218
5.5,-1.324,-6.936
5,-1.318,-6.927
4.5,-1.215,-6.157
4,-1.033,-5.873
3.5,-0.834,-5.1
3,-0.631,-4.322
2.5,-0.512,-3.907
2,-0.468,-3.728
1.5,-0.444,-3.601
1,-0.395,-3.256