Frequency,XinV,YinV,RinV,outputphase
500,-0.0315688,-0.0315688,-0.0274392,0.0418246
500,-0.0315669,-0.0315669,-0.0274392,0.0418246
500,-0.0315669,-0.0315688,-0.0274392,0.0418246
500,-0.0315688,-0.0315688,-0.0274392,0.0418246
500,-0.0315669,-0.0315669,-0.0274392,0.0418227
1000,-0.0452883,-0.0453856,-0.0311223,0.0546095
1000,-0.0472243,-0.0472453,-0.0314829,0.0546095
1000,-0.0476801,-0.047682,-0.0315688,0.0546095
1000,-0.0477755,-0.0477755,-0.031584,0.0546095
1000,-0.0477965,-0.0477965,-0.0315897,0.0546095
1500,-0.0546114,-0.0546114,-0.0314982,0.0546095
1500,-0.0546114,-0.0546114,-0.0314925,0.0546095
1500,-0.0546114,-0.0546114,-0.0314906,0.0546095
1500,-0.0546114,-0.0546114,-0.0314906,0.0546095
1500,-0.0546114,-0.0546114,-0.0314906,0.0546095
2000,-0.0546114,-0.0546114,-0.0294496,0.0546095
2000,-0.0546114,-0.0546114,-0.0292398,0.0546095
2000,-0.0546114,-0.0546114,-0.029194,0.0546095
2000,-0.0546114,-0.0546114,-0.0291826,0.0546095
2000,-0.0546114,-0.0546114,-0.0291826,0.0546095
2500,-0.0546114,-0.0546114,-0.0259897,0.0546095
2500,-0.0546114,-0.0546114,-0.0256635,0.0546095
2500,-0.0546114,-0.0546114,-0.0255891,0.0546095
2500,-0.0546114,-0.0546114,-0.0255719,0.0546095
2500,-0.0546114,-0.0546114,-0.02557,0.0546095
3000,-0.0546114,-0.0546114,-0.0216905,0.0546095
3000,-0.0546114,-0.0546114,-0.0212957,0.0546095
3000,-0.0546114,-0.0546114,-0.0212022,0.0546095
3000,-0.0546114,-0.0546114,-0.0211831,0.0546095
3000,-0.0546114,-0.0546114,-0.0211793,0.0546095
3500,-0.0546114,-0.0546114,-0.016903,0.0546095
3500,-0.0546114,-0.0546114,-0.0164624,0.0546095
3500,-0.0546114,-0.0546114,-0.0163614,0.0546095
3500,-0.0546114,-0.0546114,-0.0163385,0.0546095
3500,-0.0546114,-0.0546114,-0.0163347,0.0546095
4000,-0.0546114,-0.0546114,-0.0118752,0.0546095
4000,-0.0546114,-0.0546114,-0.0114232,0.0546095
4000,-0.0546114,-0.0546114,-0.0113164,0.0546095
4000,-0.0546114,-0.0546114,-0.0112935,0.0546095
4000,-0.0546114,-0.0546114,-0.0112897,0.0546095
4500,-0.0546114,-0.0546114,-0.00680164,0.0546095
4500,-0.0546114,-0.0546114,-0.00630572,0.0546095
4500,-0.0546114,-0.0546114,-0.00613979,0.0546095
4500,-0.0546114,-0.0546114,-0.00609592,0.0546095
4500,-0.0546114,-0.0546114,-0.00608066,0.0546095
5000,-0.0546114,-0.0546114,-0.00171853,0.0546095
5000,-0.0546114,-0.0546114,-0.00131799,0.0546095
5000,-0.0546114,-0.0546114,-0.00123788,0.0546095
5000,-0.0546114,-0.0546114,-0.00119592,0.0546095
5000,-0.0546114,-0.0546114,-0.00118066,0.0546095
5500,-0.0546114,-0.0546114,0.00312234,0.0546095
5500,-0.0546114,-0.0546114,0.00354005,0.0546095
5500,-0.0546114,-0.0546114,0.0036812,0.0546095
5500,-0.0546114,-0.0546114,0.00361444,0.0546095
5500,-0.0546114,-0.0546114,0.00363351,0.0546095
6000,-0.0546114,-0.0546114,0.00783163,0.0546095
6000,-0.0546114,-0.0546114,0.00827605,0.0546095
6000,-0.0546114,-0.0546114,0.00839812,0.0546095
6000,-0.0546114,-0.0546114,0.00843054,0.0546095
6000,-0.0546114,-0.0546114,0.00842482,0.0546095
6500,-0.0546114,-0.0546114,0.0121461,0.0546095
6500,-0.0546114,-0.0546114,0.012476,0.0546095
6500,-0.0546114,-0.0546114,0.0125447,0.0546095
6500,-0.0546114,-0.0546114,0.012558,0.0546095
6500,-0.0546114,-0.0546114,0.01256,0.0546095
7000,-0.0546114,-0.0546114,0.0161344,0.0546095
7000,-0.0546114,-0.0546114,0.0165044,0.0546095
7000,-0.0546114,-0.0546114,0.0165921,0.0546095
7000,-0.0546114,-0.0546114,0.0166093,0.0546095
7000,-0.0546114,-0.0546114,0.0166112,0.0546095
7500,-0.0546114,-0.0546114,0.019951,0.0546095
7500,-0.0546114,-0.0546114,0.0202962,0.0546095
7500,-0.0546114,-0.0546114,0.0203878,0.0546095
7500,-0.0546114,-0.0546114,0.0203954,0.0546095
7500,-0.0546114,-0.0546114,0.0203973,0.0546095
8000,-0.0546114,-0.0546114,0.0234834,0.0546095
8000,-0.0546114,-0.0546114,0.0237962,0.0546095
8000,-0.0546114,-0.0546114,0.0238725,0.0546095
8000,-0.0546114,-0.0546114,0.0238858,0.0546095
8000,-0.0546114,-0.0546114,0.0238897,0.0546095
8500,-0.0546114,-0.0546114,0.0267373,0.0546095
8500,-0.0546114,-0.0546114,0.0270215,0.0546095
8500,-0.0546114,-0.0546114,0.0270864,0.0546095
8500,-0.0546114,-0.0546114,0.0271016,0.0546095
8500,-0.0546114,-0.0546114,0.0271035,0.0546095
9000,-0.0546114,-0.0546114,0.0297071,0.0546095
9000,-0.0546114,-0.0546114,0.0299722,0.0546095
9000,-0.0546114,-0.0546114,0.0300313,0.0546095
9000,-0.0546114,-0.0546114,0.0300466,0.0546095
9000,-0.0546114,-0.0546114,0.0300485,0.0546095
9500,-0.0546114,-0.0546114,0.0324385,0.0546095
9500,-0.0546114,-0.0546114,0.0326827,0.0546095
9500,-0.0546114,-0.0546114,0.0327399,0.0546095
9500,-0.0546114,-0.0546114,0.0327513,0.0546095
9500,-0.0546114,-0.0546114,0.0327532,0.0546095
10000,-0.0546114,-0.0546114,0.0349314,0.0546095
10000,-0.0546114,-0.0546114,0.0351527,0.0546095
10000,-0.0546114,-0.0546114,0.0352042,0.0546095
10000,-0.0546114,-0.0546114,0.0352156,0.0546095
10000,-0.0546114,-0.0546114,0.0352175,0.0546095
10500,-0.0546114,-0.0546114,0.0372031,0.0546095
10500,-0.0546114,-0.0546114,0.0374053,0.0546095
10500,-0.0546114,-0.0546114,0.0374548,0.0546095
10500,-0.0546114,-0.0546114,0.037472,0.0546095
10500,-0.0546114,-0.0546114,0.0374682,0.0546095
11000,-0.0546114,-0.0546114,0.0392764,0.0546095
11000,-0.0546114,-0.0546114,0.0394576,0.0546095
11000,-0.0546114,-0.0546114,0.039511,0.0546095
11000,-0.0546114,-0.0546114,0.0395091,0.0546095
11000,-0.0546114,-0.0546114,0.03953,0.0546095
11500,-0.0546114,-0.0546114,0.0411284,0.0546095
11500,-0.0546114,-0.0546114,0.0412943,0.0546095
11500,-0.0546114,-0.0546114,0.0413344,0.0546095
11500,-0.0546114,-0.0546114,0.041342,0.0546095
11500,-0.0546114,-0.0546114,0.041342,0.0546095
12000,-0.0546114,-0.0546114,0.0428202,0.0546095
12000,-0.0546114,-0.0546114,0.042969,0.0546095
12000,-0.0546114,-0.0546114,0.0430052,0.0546095
12000,-0.0546114,-0.0546114,0.043011,0.0546095
12000,-0.0546114,-0.0546114,0.043011,0.0546095
12500,-0.0546114,-0.0546114,0.0443518,0.0546095
12500,-0.0546114,-0.0546114,0.0444872,0.0546095
12500,-0.0546114,-0.0546114,0.0445197,0.0546095
12500,-0.0546114,-0.0546114,0.0445254,0.0546095
12500,-0.0546114,-0.0546114,0.0445292,0.0546095
13000,-0.0546114,-0.0546114,0.0457366,0.0546095
13000,-0.0546114,-0.0546114,0.0458605,0.0546095
13000,-0.0546114,-0.0546114,0.0458891,0.0546095
13000,-0.0546114,-0.0546114,0.0458968,0.0546095
13000,-0.0546114,-0.0546114,0.0458968,0.0546095
13500,-0.0546114,-0.0546114,0.046982,0.0546095
13500,-0.0546114,-0.0546114,0.0470984,0.0546095
13500,-0.0546114,-0.0546114,0.0471232,0.0546095
13500,-0.0546114,-0.0546114,0.0471251,0.0546095
13500,-0.0546114,-0.0546114,0.047127,0.0546095
14000,-0.0546114,-0.0546114,0.0481112,0.0546095
14000,-0.0546114,-0.0546114,0.0482123,0.0546095
14000,-0.0546114,-0.0546114,0.0482352,0.0546095
14000,-0.0546114,-0.0546114,0.048239,0.0546095
14000,-0.0546114,-0.0546114,0.0482409,0.0546095
14500,-0.0546114,-0.0546114,0.0491202,0.0546095
14500,-0.0546114,-0.0546114,0.0492098,0.0546095
14500,-0.0546114,-0.0546114,0.0492308,0.0546095
14500,-0.0546114,-0.0546114,0.0492365,0.0546095
14500,-0.0546114,-0.0546114,0.0492365,0.0546095
15000,-0.0546114,-0.0546114,0.0500262,0.0546095
15000,-0.0546114,-0.0546114,0.0501082,0.0546095
15000,-0.0546114,-0.0546114,0.0501254,0.0546095
15000,-0.0546114,-0.0546114,0.0501311,0.0546095
15000,-0.0546114,-0.0546114,0.0501311,0.0546095
15500,-0.0546114,-0.0546114,0.0508368,0.0546095
15500,-0.0546114,-0.0546114,0.0509093,0.0546095
15500,-0.0546114,-0.0546114,0.0509264,0.0546095
15500,-0.0546114,-0.0546114,0.0509303,0.0546095
15500,-0.0546114,-0.0546114,0.0509322,0.0546095
16000,-0.0546114,-0.0546114,0.0515597,0.0546095
16000,-0.0546114,-0.0546114,0.0516264,0.0546095
16000,-0.0546114,-0.0546114,0.0516398,0.0546095
16000,-0.0546114,-0.0546114,0.0516455,0.0546095
16000,-0.0546114,-0.0546114,0.0516455,0.0546095
16500,-0.0546114,-0.0546114,0.0522063,0.0546095
16500,-0.0546114,-0.0546114,0.0522616,0.0546095
16500,-0.0546114,-0.0546114,0.0522749,0.0546095
16500,-0.0546114,-0.0546114,0.0522788,0.0546095
16500,-0.0546114,-0.0546114,0.0522807,0.0546095
17000,-0.0546114,-0.0546114,0.0527842,0.0546095
17000,-0.0546114,-0.0546114,0.0528357,0.0546095
17000,-0.0546114,-0.0546114,0.0528471,0.0546095
17000,-0.0546114,-0.0546114,0.0528491,0.0546095
17000,-0.0546114,-0.0546114,0.052851,0.0546095
17500,-0.0546114,-0.0546114,0.0532916,0.0546095
17500,-0.0546114,-0.0546114,0.0533354,0.0546095
17500,-0.0546114,-0.0546114,0.053345,0.0546095
17500,-0.0546114,-0.0546114,0.0533469,0.0546095
17500,-0.0546114,-0.0546114,0.0533469,0.0546095
18000,-0.0546114,-0.0546114,0.0537379,0.0546095
18000,-0.0546114,-0.0546114,0.0537779,0.0546095
18000,-0.0546114,-0.0546114,0.0537875,0.0546095
18000,-0.0546114,-0.0546114,0.0537913,0.0546095
18000,-0.0546114,-0.0546114,0.0537913,0.0546095
18500,-0.0544913,-0.0544817,0.0541384,0.0546095
18500,-0.0543063,-0.0543044,0.0541747,0.0546095
18500,-0.0542624,-0.0542624,0.0541823,0.0546095
18500,-0.054251,-0.054251,0.0541842,0.0546095
18500,-0.054251,-0.054251,0.0541823,0.0546095
19000,-0.0530074,-0.0529997,0.0544913,0.0546095
19000,-0.05283,-0.05283,0.0545218,0.0546095
19000,-0.052788,-0.052788,0.0545294,0.0546095
19000,-0.0527766,-0.0527766,0.0545313,0.0546095
19000,-0.0527747,-0.0527747,0.0545313,0.0546095
19500,-0.0515673,-0.0515616,0.0546095,0.0546095
19500,-0.0513957,-0.0513918,0.0546095,0.0546095
19500,-0.0513518,-0.0513518,0.0546095,0.0546095
19500,-0.0513403,-0.0513403,0.0546095,0.0546095
19500,-0.0513403,-0.0513403,0.0546095,0.0546095
20000,-0.050175,-0.0501711,0.0546095,0.0546095
20000,-0.050009,-0.0500071,0.0546095,0.0546095
20000,-0.049969,-0.0499671,0.0546095,0.0546095
20000,-0.0499594,-0.0499594,0.0546095,0.0546095
20000,-0.0499575,-0.0499575,0.0546095,0.0546095
20500,-0.0488169,-0.0488131,0.0546095,0.0546095
20500,-0.0486567,-0.0486548,0.0546095,0.0546095
20500,-0.0486166,-0.0486166,0.0546095,0.0546095
20500,-0.0486052,-0.0486052,0.0546095,0.0546095
20500,-0.0486052,-0.0486052,0.0546095,0.0546095
21000,-0.0475047,-0.0474989,0.0546095,0.0546095
21000,-0.0473464,-0.0473444,0.0546095,0.0546095
21000,-0.0473082,-0.0473082,0.0546095,0.0546095
21000,-0.0472968,-0.0472968,0.0546095,0.0546095
21000,-0.0472968,-0.0472968,0.0546095,0.0546095
21500,-0.0462191,-0.0462134,0.0546095,0.0546095
21500,-0.0460646,-0.0460627,0.0546095,0.0546095
21500,-0.0460265,-0.0460265,0.0546095,0.0546095
21500,-0.0460169,-0.0460169,0.0546095,0.0546095
21500,-0.046015,-0.046015,0.0546095,0.0546095
22000,-0.0449755,-0.0449698,0.0546095,0.0546095
22000,-0.0448267,-0.0448267,0.0546095,0.0546095
22000,-0.0447905,-0.0447905,0.0546095,0.0546095
22000,-0.0447829,-0.0447829,0.0546095,0.0546095
22000,-0.044781,-0.044781,0.0546095,0.0546095
22500,-0.0437644,-0.0437586,0.0546095,0.0546095
22500,-0.0436175,-0.0436156,0.0546095,0.0546095
22500,-0.0435812,-0.0435793,0.0546095,0.0546095
22500,-0.0435736,-0.0435736,0.0546095,0.0546095
22500,-0.0435717,-0.0435717,0.0546095,0.0546095
23000,-0.0425971,-0.0425932,0.0546095,0.0546095
23000,-0.0424578,-0.0424559,0.0546095,0.0546095
23000,-0.0424235,-0.0424235,0.0546095,0.0546095
23000,-0.0424159,-0.0424159,0.0546095,0.0546095
23000,-0.0424159,-0.0424159,0.0546095,0.0546095
23500,-0.0414565,-0.0414488,0.0546095,0.0546095
23500,-0.0413153,-0.0413153,0.0546095,0.0546095
23500,-0.0412829,-0.0412829,0.0546095,0.0546095
23500,-0.0412753,-0.0412753,0.0546095,0.0546095
23500,-0.0412734,-0.0412734,0.0546095,0.0546095
24000,-0.0403464,-0.0403407,0.0546095,0.0546095
24000,-0.0402129,-0.040211,0.0546095,0.0546095
24000,-0.0401785,-0.0401785,0.0546095,0.0546095
24000,-0.0401709,-0.0401709,0.0546095,0.0546095
24000,-0.040169,-0.040169,0.0546095,0.0546095
24500,-0.0392687,-0.039263,0.0546095,0.0546095
24500,-0.039139,-0.0391371,0.0546095,0.0546095
24500,-0.0391085,-0.0391085,0.0546095,0.0546095
24500,-0.0391009,-0.0391009,0.0546095,0.0546095
24500,-0.039099,-0.039099,0.0546095,0.0546095
25000,-0.0382254,-0.0382197,0.0546095,0.0546095
25000,-0.0380995,-0.0380976,0.0546095,0.0546095
25000,-0.038069,-0.038069,0.0546095,0.0546095
25000,-0.0380633,-0.0380633,0.0546095,0.0546095
25000,-0.0380595,-0.0380595,0.0546095,0.0546095
25500,-0.0372126,-0.0372088,0.0546095,0.0546095
25500,-0.0370886,-0.0370886,0.0546095,0.0546095
25500,-0.0370581,-0.0370581,0.0546095,0.0546095
25500,-0.0370543,-0.0370543,0.0546095,0.0546095
25500,-0.0370524,-0.0370524,0.0546095,0.0546095
26000,-0.0362284,-0.0362227,0.0546095,0.0546095
26000,-0.0361102,-0.0361083,0.0546095,0.0546095
26000,-0.0360796,-0.0360796,0.0546095,0.0546095
26000,-0.0360739,-0.0360739,0.0546095,0.0546095
26000,-0.0360739,-0.0360739,0.0546095,0.0546095
26500,-0.0352747,-0.035269,0.0546095,0.0546095
26500,-0.0351584,-0.0351565,0.0546095,0.0546095
26500,-0.0351298,-0.0351298,0.0546095,0.0546095
26500,-0.0351241,-0.0351241,0.0546095,0.0546095
26500,-0.0351241,-0.0351241,0.0546095,0.0546095
27000,-0.034344,-0.0343421,0.0546095,0.0546095
27000,-0.0342352,-0.0342333,0.0546095,0.0546095
27000,-0.0342047,-0.0342047,0.0546095,0.0546095
27000,-0.034199,-0.034199,0.0546095,0.0546095
27000,-0.034199,-0.034199,0.0546095,0.0546095
27500,-0.0334418,-0.033438,0.0546095,0.0546095
27500,-0.0333331,-0.0333312,0.0546095,0.0546095
27500,-0.0333064,-0.0333064,0.0546095,0.0546095
27500,-0.0333006,-0.0333006,0.0546095,0.0546095
27500,-0.0333006,-0.0333006,0.0546095,0.0546095
28000,-0.0325587,-0.032553,0.0546095,0.0546095
28000,-0.0324538,-0.0324519,0.0546095,0.0546095
28000,-0.032429,-0.032429,0.0546095,0.0546095
28000,-0.0324214,-0.0324214,0.0546095,0.0546095
28000,-0.0324194,-0.0324194,0.0546095,0.0546095
28500,-0.0317061,-0.0317042,0.0546095,0.0546095
28500,-0.0316031,-0.0316031,0.0546095,0.0546095
28500,-0.0315764,-0.0315764,0.0546095,0.0546095
28500,-0.0315688,-0.0315688,0.0546095,0.0546095
28500,-0.0315707,-0.0315707,0.0546095,0.0546095
29000,-0.0308725,-0.0308667,0.0546095,0.0546095
29000,-0.0307695,-0.0307695,0.0546095,0.0546095
29000,-0.0307447,-0.0307447,0.0546095,0.0546095
29000,-0.030737,-0.030737,0.0546095,0.0546095
29000,-0.0307389,-0.0307389,0.0546095,0.0546095
29500,-0.030058,-0.0300542,0.0546095,0.0546095
29500,-0.0299646,-0.0299627,0.0546095,0.0546095
29500,-0.0299417,-0.0299417,0.0546095,0.0546095
29500,-0.029936,-0.029936,0.0546095,0.0546095
29500,-0.029936,-0.029936,0.0546095,0.0546095
30000,-0.0292798,-0.029276,0.0546095,0.0546095
30000,-0.0291845,-0.0291845,0.0546095,0.0546095
30000,-0.0291616,-0.0291616,0.0546095,0.0546095
30000,-0.0291559,-0.0291559,0.0546095,0.0546095
30000,-0.0291539,-0.0291539,0.0546095,0.0546095
30500,-0.0285131,-0.0285093,0.0546095,0.0546095
30500,-0.0284196,-0.0284177,0.0546095,0.0546095
30500,-0.0283986,-0.0283986,0.0546095,0.0546095
30500,-0.0283929,-0.0283929,0.0546095,0.0546095
30500,-0.0283891,-0.0283891,0.0546095,0.0546095
31000,-0.0277635,-0.0277597,0.0546095,0.0546095
31000,-0.0276757,-0.0276738,0.0546095,0.0546095
31000,-0.027651,-0.027651,0.0546095,0.0546095
31000,-0.027649,-0.027649,0.0546095,0.0546095
31000,-0.0276471,-0.0276471,0.0546095,0.0546095
31500,-0.0269109,-0.026909,0.0546095,0.0546095
31500,-0.0268003,-0.0267984,0.0546095,0.0546095
31500,-0.0268403,-0.0268422,0.0546095,0.0546095
31500,-0.0268842,-0.0268842,0.0546095,0.0546095
31500,-0.0268975,-0.0268975,0.0546095,0.0546095
32000,-0.02627,-0.0262662,0.0546095,0.0546095
32000,-0.0261823,-0.0261823,0.0546095,0.0546095
32000,-0.0261174,-0.0261155,0.0546095,0.0546095
32000,-0.0261041,-0.0261041,0.0546095,0.0546095
32000,-0.0261174,-0.0261174,0.0546095,0.0546095
32500,-0.0256215,-0.0256196,0.0546095,0.0546095
32500,-0.0255452,-0.0255433,0.0546095,0.0546095
32500,-0.0255243,-0.0255243,0.0546095,0.0546095
32500,-0.0255204,-0.0255204,0.0546095,0.0546095
32500,-0.0255204,-0.0255204,0.0546095,0.0546095
33000,-0.024954,-0.0249521,0.0546095,0.0546095
33000,-0.02487,-0.0248681,0.0546095,0.0546095
33000,-0.024851,-0.024851,0.0546095,0.0546095
33000,-0.0248471,-0.0248471,0.0546095,0.0546095
33000,-0.0248471,-0.0248471,0.0546095,0.0546095
33500,-0.0243093,-0.0243074,0.0546095,0.0546095
